n,correlation,algorithm,config_name,mean_value,std_value,mean_gap,std_gap,mean_time_ms,std_time_ms,mean_evaluations,std_evaluations,mean_iterations,std_iterations,optimal_rate
20,strongly,GA,GA_POP_200,6124.43,613.0513066257631,0.03869473767069353,0.050910904476360895,101.1848977900263,3.0820943727550865,40400.0,0.0,100.0,0.0,0.54
20,strongly,SA,SA_COOL_SLOW,6115.05,613.9322786576529,0.19463848380332532,0.15054174601482972,26.203645399982634,1.4378369153359034,20002.0,0.0,10000.0,0.0,0.25
20,uncorrelated,GA,GA_POP_200,8342.14,791.9015205328386,0.007986309184255563,0.025254927120568916,99.51778712982559,1.9444800364654793,40400.0,0.0,100.0,0.0,0.99
20,uncorrelated,SA,SA_COOL_SLOW,8335.52,788.0757095609532,0.08327695423752515,0.14384700132876205,27.28859248005392,1.7421526702289576,20002.0,0.0,10000.0,0.0,0.8800000000000001
20,weakly,GA,GA_POP_200,5289.96,878.4310334024206,0.06309174722904849,0.134280640725824,96.80448648990932,0.8532097508850114,40400.0,0.0,100.0,0.0,0.8099999999999999
20,weakly,SA,SA_COOL_SLOW,5284.719999999999,879.4290140009406,0.16495157145621803,0.22437924138274576,26.163743709948903,0.40561921974956716,20002.0,0.0,10000.0,0.0,0.64
50,strongly,GA,GA_POP_200,15837.84,636.0903206306473,0.002911755806120489,0.0027207001565296945,183.3881487500912,2.0814237786322303,40400.0,0.0,100.0,0.0,0.7
50,strongly,SA,SA_COOL_SLOW,15728.4,658.2544830416616,0.700161322272376,0.31217542639297796,53.907957510054985,3.0672636874630967,20002.0,0.0,10000.0,0.0,0.0
50,uncorrelated,GA,GA_POP_200,20974.56,1466.5060784811703,0.03453405850378342,0.055658693814736544,182.1886932200141,12.189261694059967,40400.0,0.0,100.0,0.0,0.8
50,uncorrelated,SA,SA_COOL_SLOW,20954.079999999998,1449.9421565474026,0.12756405616296662,0.14508039650478166,52.72548329003257,0.6049411439866728,20002.0,0.0,10000.0,0.0,0.42000000000000004
50,weakly,GA,GA_POP_200,13407.420000000002,939.1864479431121,0.025118091731355752,0.027906639980181207,181.25838876012494,6.798249047594645,40400.0,0.0,100.0,0.0,0.61
50,weakly,SA,SA_COOL_SLOW,13374.49,945.3695778782902,0.27470136519984967,0.22835958685332725,56.12976021993745,3.539766057835183,20002.0,0.0,10000.0,0.0,0.2
100,strongly,GA,GA_POP_200,31742.640000000003,1469.886951208607,0.0021214711215798362,0.0016225111548599876,330.11647131001155,11.278112605775293,40400.0,0.0,100.0,0.0,0.5900000000000001
100,strongly,SA,SA_COOL_SLOW,31334.1,1533.066927581587,1.2995035419654593,0.3266914109145028,101.22905265990994,6.335274385520935,20002.0,0.0,10000.0,0.0,0.0
100,uncorrelated,GA,GA_POP_200,40863.58,1832.6976466400563,0.010768445222685438,0.01617300057697557,319.14756152989867,7.924140610298135,40400.0,0.0,100.0,0.0,0.6799999999999999
100,uncorrelated,SA,SA_COOL_SLOW,40828.18,1833.4701062920738,0.09771373415662792,0.09155320496634885,100.00548959000298,1.9129700172566415,20002.0,0.0,10000.0,0.0,0.41
100,weakly,GA,GA_POP_200,27429.159999999996,640.2805031130237,0.035274056124532334,0.022568252187099392,316.8376997999985,9.722431002530543,40400.0,0.0,100.0,0.0,0.38
100,weakly,SA,SA_COOL_SLOW,27285.65,633.0985972886757,0.5578840254746817,0.16124948126959232,100.52475182992566,4.711153930657482,20002.0,0.0,10000.0,0.0,0.0
