n,correlation,algorithm,config_name,mean_value,std_value,mean_gap,std_gap,mean_time_ms,std_time_ms,mean_evaluations,std_evaluations,mean_iterations,std_iterations,optimal_rate
20,strongly,GA,GA_BASE,6123.65,612.833015592339,0.05110028034962536,0.06091909591622721,52.946380710018275,4.945367198422818,20200.0,0.0,100.0,0.0,0.5
20,strongly,GA,GA_CROSS_060,6123.5199999999995,612.6654729767118,0.053042090300112685,0.06217451488564633,50.08306593997986,2.3878022429696464,20200.0,0.0,100.0,0.0,0.47000000000000003
20,strongly,GA,GA_CROSS_095,6123.3099999999995,612.9837145743214,0.05701421792099194,0.07914235749241236,52.44667441005731,2.8616301354314118,20200.0,0.0,100.0,0.0,0.45999999999999996
20,strongly,GA,GA_MUT_HIGH,6125.8099999999995,613.1265402291217,0.01610433018552084,0.019236774281588383,53.76467733021855,1.8331215455398358,20200.0,0.0,100.0,0.0,0.6
20,strongly,GA,GA_MUT_LOW,6121.42,613.4063340614169,0.08862800673859918,0.08467673539771596,48.500478269943414,1.7909293571545652,20200.0,0.0,100.0,0.0,0.37
20,strongly,GA,GA_POP_200,6124.43,613.0513066257631,0.03869473767069353,0.050910904476360895,101.1848977900263,3.0820943727550865,40400.0,0.0,100.0,0.0,0.54
20,strongly,GA,GA_POP_50,6119.71,615.4832183830125,0.11999206989321458,0.1343649269376823,25.820354739880713,1.1619544308931562,10100.0,0.0,100.0,0.0,0.35
20,strongly,GA,GA_TOUR_5,6120.64,613.4872727105083,0.10163158028826706,0.09013720744753399,56.50507715994536,3.1185288293786573,20200.0,0.0,100.0,0.0,0.33999999999999997
20,strongly,SA,SA_BASE,6082.0199999999995,608.2764444632794,0.7305093756212329,0.2858638282852523,7.32763498010172,0.32472268649473157,5516.0,0.0,2757.0,0.0,0.13999999999999999
20,strongly,SA,SA_COOL_FAST,6016.29,605.6224042714698,1.809049773718911,0.5056885131118412,1.8401830599577806,0.10099439385205594,1370.0,0.0,684.0,0.0,0.08
20,strongly,SA,SA_COOL_SLOW,6115.05,613.9322786576529,0.19463848380332532,0.15054174601482972,26.203645399982634,1.4378369153359034,20002.0,0.0,10000.0,0.0,0.25
20,strongly,SA,SA_T0_HIGH,6084.24,607.8192132534149,0.6930406248217961,0.2373171018984775,8.1670948500323,0.789980717316984,6158.0,0.0,3078.0,0.0,0.18
20,strongly,SA,SA_T0_LOW,5951.45,611.0562644579741,2.8823433326508208,0.6458812042315877,6.295819749993825,0.5180011595522743,4596.0,0.0,2297.0,0.0,0.06999999999999999
20,uncorrelated,GA,GA_BASE,8342.7,790.8532733699719,0.0,0.0,50.58143312993707,1.32632923065254,20200.0,0.0,100.0,0.0,1.0
20,uncorrelated,GA,GA_CROSS_060,8341.539999999999,793.0274931481812,0.01654306902452938,0.05231377760689276,48.63576215991998,1.352329288485822,20200.0,0.0,100.0,0.0,0.9800000000000001
20,uncorrelated,GA,GA_CROSS_095,8341.85,792.0277790442567,0.011606656143799497,0.0276984876727839,51.07855707998169,2.256324899148749,20200.0,0.0,100.0,0.0,0.9800000000000001
20,uncorrelated,GA,GA_MUT_HIGH,8342.7,790.8532733699719,0.0,0.0,51.734253790036746,1.1322645774056812,20200.0,0.0,100.0,0.0,1.0
20,uncorrelated,GA,GA_MUT_LOW,8340.8,793.1807920574532,0.025570762082965392,0.05674367192886065,47.68082884993419,1.5716646712132691,20200.0,0.0,100.0,0.0,0.97
20,uncorrelated,GA,GA_POP_200,8342.14,791.9015205328386,0.007986309184255563,0.025254927120568916,99.51778712982559,1.9444800364654793,40400.0,0.0,100.0,0.0,0.99
20,uncorrelated,GA,GA_POP_50,8337.210000000001,793.5975364685105,0.06922255014511738,0.11255216597591759,24.69399796009384,0.5945008452062813,10100.0,0.0,100.0,0.0,0.9099999999999999
20,uncorrelated,GA,GA_TOUR_5,8339.55,793.8799842825391,0.04145922971055275,0.07855838476835823,54.50311997006793,1.3636211015086706,20200.0,0.0,100.0,0.0,0.95
20,uncorrelated,SA,SA_BASE,8310.61,794.7331312389643,0.3901956430924605,0.4616942313781901,7.283622549966822,0.1505394405566344,5516.0,0.0,2757.0,0.0,0.67
20,uncorrelated,SA,SA_COOL_FAST,8252.92,785.4904409914159,1.0780663833318083,0.6588437423912169,1.8093880900050863,0.06551838996480898,1370.0,0.0,684.0,0.0,0.44000000000000006
20,uncorrelated,SA,SA_COOL_SLOW,8335.52,788.0757095609532,0.08327695423752515,0.14384700132876205,27.28859248005392,1.7421526702289576,20002.0,0.0,10000.0,0.0,0.8800000000000001
20,uncorrelated,SA,SA_T0_HIGH,8313.689999999999,794.5534671191808,0.3532433535493977,0.441084176998108,8.13683905002108,0.1889116252996471,6158.0,0.0,3078.0,0.0,0.7
20,uncorrelated,SA,SA_T0_LOW,8232.05,783.138203001233,1.3265757324684893,0.8760083215090116,6.526244429933286,0.8222615448276475,4596.0,0.0,2297.0,0.0,0.44000000000000006
20,weakly,GA,GA_BASE,5288.0,878.4034114991434,0.10004937973521644,0.16079090234715324,48.76291794005738,1.1040415082753012,20200.0,0.0,100.0,0.0,0.78
20,weakly,GA,GA_CROSS_060,5288.58,879.0009465296381,0.09087096708624853,0.12231235173537852,47.76484069005164,0.5298238401390547,20200.0,0.0,100.0,0.0,0.79
20,weakly,GA,GA_CROSS_095,5289.0599999999995,877.8191020933641,0.07882557964836658,0.15466383327836042,49.13552156011065,0.6495718251908962,20200.0,0.0,100.0,0.0,0.76
20,weakly,GA,GA_MUT_HIGH,5292.76,878.9424342166367,0.011649071714597743,0.028135181159935817,51.26212942994243,0.6573680161771515,20200.0,0.0,100.0,0.0,0.96
20,weakly,GA,GA_MUT_LOW,5283.67,877.8424270777631,0.1818118098794659,0.1571896748213545,46.40060914001879,0.5332906458274659,20200.0,0.0,100.0,0.0,0.67
20,weakly,GA,GA_POP_200,5289.96,878.4310334024206,0.06309174722904849,0.134280640725824,96.80448648990932,0.8532097508850114,40400.0,0.0,100.0,0.0,0.8099999999999999
20,weakly,GA,GA_POP_50,5285.88,877.9332685346874,0.13965626781949575,0.1588804614923791,24.17071303992998,0.3329158201987969,10100.0,0.0,100.0,0.0,0.74
20,weakly,GA,GA_TOUR_5,5288.13,876.7701891348472,0.09451925430050476,0.12605860504824332,53.17254696008604,0.37048980299665507,20200.0,0.0,100.0,0.0,0.77
20,weakly,SA,SA_BASE,5267.67,870.8402711685358,0.4706894632125297,0.4135568077617598,7.2377101900019625,0.13066188851731736,5516.0,0.0,2757.0,0.0,0.38
20,weakly,SA,SA_COOL_FAST,5232.38,892.3328985181358,1.2230803204608178,0.7213619265858647,1.803792689970578,0.07656916663422968,1370.0,0.0,684.0,0.0,0.19
20,weakly,SA,SA_COOL_SLOW,5284.719999999999,879.4290140009406,0.16495157145621803,0.22437924138274576,26.163743709948903,0.40561921974956716,20002.0,0.0,10000.0,0.0,0.64
20,weakly,SA,SA_T0_HIGH,5273.21,882.7665772382237,0.4012537961112093,0.31269611581565926,8.000868250073836,0.1632468664317265,6158.0,0.0,3078.0,0.0,0.39
20,weakly,SA,SA_T0_LOW,5197.57,887.2371561325767,1.8750093298000405,0.544431047423381,6.123639000052208,0.17360688069635163,4596.0,0.0,2297.0,0.0,0.12
50,strongly,GA,GA_BASE,15835.51,637.9585016981034,0.01810015900901297,0.019096519537072462,91.53957979995539,1.101876518244905,20200.0,0.0,100.0,0.0,0.42000000000000004
50,strongly,GA,GA_CROSS_060,15836.09,638.0481442127488,0.014457919714122672,0.019131156353918956,90.28511142003481,1.9478746572731598,20200.0,0.0,100.0,0.0,0.52
50,strongly,GA,GA_CROSS_095,15837.05,635.5907562610117,0.007789402268711469,0.008503108856307824,97.04634313009592,9.632024036272375,20200.0,0.0,100.0,0.0,0.55
50,strongly,GA,GA_MUT_HIGH,15831.0,644.924012750512,0.04831059925880272,0.0847419709049453,95.67645321001692,0.9217785161125528,20200.0,0.0,100.0,0.0,0.29
